"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Thai
# Translation ID: thai_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/thai_rwwad
# Last update: 2026-06-18 14:11:04 (v1.0.1-csv.1)
# Check for updates: https://quranenc.com/check/thai_rwwad/v1.0.1-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"ด้วยพระนามของอัลลอฮ์ ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ",""
2,1,2,"การสรรเสริญทั้งหลายนั้น เป็นสิทธิของอัลลอฮ์ ผู้เป็นพระผู้อภิบาลแห่งสากลโลก",""
3,1,3,"ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ",""
4,1,4,"ผู้ทรงอภิสิทธิ์แห่งวันตอบแทน",""
5,1,5,"เฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์เคารพอิบาดะฮ์ และเฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์ขอความช่วยเหลือ",""
6,1,6,"ขอพระองค์ทรงแนะนำพวกข้าพระองค์ ซึ่งทางอันเที่ยงตรง",""
7,1,7,"(คือ) ทางของบรรดาผู้ที่พระองค์ได้ทรงโปรดปรานแก่พวกเขา มิใช่ทางของพวกที่ถูกกริ้ว และมิใช่ทางของพวกที่หลงผิด",""
8,2,1,"อะลิฟ ลาม มีม[1]","[1] อักษรเหล่านี้และอักษรอื่น ๆ ที่เป็นอักษรเดียว (ไม่ประสมคำ) ที่ปรากฏอยู่ตอนต้นของหลายซูเราะฮ์ เป็นสัญลักษณ์ที่ชี้ให้เห็นถึงความมหัศจรรย์ของอัลกุรอาน โดยที่ได้มีการท้าทายบรรดาผู้ตั้งภาคีด้วยอัลกุรอานนี้ แล้วพวกเขาก็ไม่สามารถโต้แย้งมันได้ ทั้ง ๆ ที่คัมภีร์นี้ถูกประกอบขึ้นจากตัวอักษรเหล่านี้อันเป็นรากฐานภาษาของชาวอาหรับเอง ดังนั้น การที่ชาวอาหรับไม่สามารถประพันธ์สิ่งใดให้เสมือนอัลกุรอานได้ ทั้ง ๆ ที่พวกเขาเป็นผู้มีวาทศิลป์มากที่สุดในหมู่มนุษย์ ย่อมเป็นหลักฐานที่บ่งบอกว่า คัมภีร์อัลกุรอานคือวิวรณ์ (วะฮีย์) ที่มาจากอัลลอฮ์"
9,2,2,"คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้นเลย เป็นทางนำสำหรับบรรดาผู้ยำเกรง",""
10,2,3,"คือบรรดาผู้ที่ศรัทธาต่อสิ่งเร้นลับ และดำรงไว้ซึ่งการละหมาด และส่วนหนึ่งจากสิ่งที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเขานั้น พวกเขาก็บริจาค",""
11,2,4,"และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนหน้าเจ้า และต่อวันปรโลกนั้นพวกเขาเชื่อมั่น",""
12,2,5,"ชนเหล่านี้ คือ ผู้ที่อยู่บนทางนำจากพระผู้อภิบาลของพวกเขา และชนเหล่านี้ คือ ผู้ประสบความสำเร็จ",""
13,2,6,"แท้จริงบรรดาผู้ปฏิเสธศรัทธานั้น มันมีค่าผลกันสำหรับพวกเขา ไม่ว่าเจ้าจะตักเตือนพวกเขาหรือไม่ก็ตาม พวกเขาก็ไม่ศรัทธา",""
14,2,7,"อัลลอฮ์ทรงประทับตราปิดหัวใจของพวกเขาและการได้ยินของพวกเขา และบนสายตาของพวกเขานั้นมีสิ่งบดบังอยู่ และสำหรับพวกเขาคือการลงโทษอันมหันต์",""
15,2,8,"และในหมู่มนุษย์นั้นมีผู้ที่กล่าวว่า ""เราศรัทธาต่ออัลลอฮ์และวันปรโลกแล้ว"" ทั้งที่พวกเขาไม่ได้เป็นผู้ศรัทธา",""
16,2,9,"พวกเขาต่างหลอกลวงอัลลอฮ์และบรรดาผู้ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึกตัว",""
17,2,10,"ในหัวใจของพวกเขานั้นมีโรคแล้วอย่างหนึ่ง ดังนั้นอัลลอฮ์ได้เพิ่มโรคอีกอย่างหนึ่ง และสำหรับพวกเขาก็คือการลงโทษอันเจ็บแสบอันเนื่องจากที่พวกเขาได้กล่าวเท็จ",""
18,2,11,"และเมื่อได้มีการกล่าวแก่พวกเขาว่า “พวกเจ้าอย่าก่อความเสียหายบนหน้าแผ่นดิน” พวกเขาก็กล่าวว่า “แท้จริงพวกเราเป็นผู้ปรับปรุงให้ดีขึ้นต่างหาก”",""
19,2,12,"พึงรู้เถิดว่า แท้จริงพวกเขาเหล่านั่นแหละเป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึกตัว",""
20,2,13,"และเมื่อมีการกล่าวแก่พวกเขาว่า “พวกเจ้าจงศรัทธาดังที่ชนเหล่านี้ได้ศรัทธากัน” พวกเขากล่าวว่า “จะให้เราศรัทธาเหมือนที่คนโฉดเขลาเหล่านั้นศรัทธากันกระนั้นหรือ?” พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละคือกลุ่มชนผู้โฉดเขลาแต่พวกเขาไม่รู้",""
21,2,14,"และเมื่อพวกเขาได้พบกับบรรดาผู้ศรัทธา พวกเขาก็กล่าวว่า “เราได้ศรัทธาแล้ว” และเมื่อพวกเขาอยู่ตามลำพังกับบรรดาหัวโจกของพวกเขา พวกเขากล่าวว่า ""แท้จริงเราอยู่กับพวกท่าน แท้จริงเราเป็นเพียงผู้เย้ยหยันเท่านั้น""",""
22,2,15,"อัลลอฮ์ทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาใช้ชีวิตด้วยความสับสนในการละเมิดของพวกเขาต่อไป",""
23,2,16,"ชนเหล่านั้นคือผู้ที่ซื้อความหลงผิดด้วยทางนำที่ถูกต้อง ดังนั้นการค้าขายของพวกเขาจึงไม่ก่อกำไรใดๆ และพวกเขาก็ไม่ได้เป็นกลุ่มชนที่ได้รับทางนำ",""
24,2,17,"อุปมาพวกเขานั้น ดังผู้ที่ก่อไฟขึ้นมา เมื่อไฟได้ส่องสว่างถึงสิ่งที่อยู่รอบตัวเขาแล้ว อัลลอฮ์ก็ทรงเอาแสงสว่างนั้นไปจากพวกเขา และทิ้งพวกเขาไว้ในที่มืดมิด ซึ่งพวกเขาไม่สามารถมองเห็นได้",""
25,2,18,"(พวกเขาเหล่านั้น)เป็นคนหูหนวก เป็นใบ้ และตาบอด ดังนั้นพวกเขาจึงไม่สามารถกลับไปหาทางนำได้อีก",""
26,2,19,"หรือดังฝนที่ตกหนักจากฟากฟ้า โดยในนั้นเต็มไปด้วยความมืดมิด ฟ้าร้องและฟ้าแลบ ทำให้พวกเขาเอานิ้วอุดหูของพวกเขาด้วยความหวาดกลัวเสียงฟ้าผ่า เพราะกลัวความตาย และอัลลอฮ์เป็นผู้ทรงล้อมรอบบรรดาผู้ปฏิเสธศรัทธาทั้งหลาย",""
