"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: German
# Translation ID: german_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/german_rwwad
# Last update: 2026-05-04 10:47:15 (v1.0.13-csv.1)
# Check for updates: https://quranenc.com/check/german_rwwad/v1.0.13-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Im Namen Allahs, des Allerbarmers, des Barmherzigen.",""
2,1,2,"Das Lob gebührt Allah, dem Herrn der Welten(bewohner),",""
3,1,3,"dem Allerbarmer, dem Barmherzigen,",""
4,1,4,"dem Herrscher am Tag des Gerichts.",""
5,1,5,"Dir (allein) dienen wir, und zu Dir (allein) flehen wir um Hilfe.",""
6,1,6,"Leite uns den geraden Weg,",""
7,1,7,"den Weg derjenigen, denen Du Gunst erwiesen hast, nicht (den Weg) derjenigen, die (Deinen) Zorn erregt haben, und nicht (den Weg) der Irregehenden!",""
8,2,1,"Alif-Lam-Mim.[1]","[1] Diese Buchstaben und andere abgetrennte Buchstaben am Anfang der Suren enthalten einen Hinweis auf die Wunderhaftigkeit des Qurans. Denn mit ihm wurden die Götzendiener herausgefordert, doch sie waren nicht imstande, ihm etwas Gleichwertiges entgegenzubringen, obwohl er aus eben diesen Buchstaben zusammengesetzt ist, aus denen sich die Sprache der Araber bildet. So weist die Unfähigkeit der Araber, etwas seinesgleichen hervorzubringen - obwohl sie die sprachgewandtesten Menschen waren - darauf hin, dass der Quran von Allah offenbart wurde."
9,2,2,"Dieses Buch, (und) an ihm gibt es keinen Zweifel, ist eine Rechtleitung für die Gottesfürchtigen,",""
10,2,3,"die an das Verborgene glauben, (und) das Gebet verrichten und von dem, womit Wir sie versorgt haben, ausgeben,",""
11,2,4,"und die an das glauben, was zu dir (an Offenbarung) hinabgesandt worden ist, und was vor dir hinabgesandt wurde, und die vom Jenseits überzeugt sind.",""
12,2,5,"Jene befinden sich auf einer Rechtleitung von ihrem Herrn, und das sind jene, denen es wohl ergeht.",""
13,2,6,"Wahrlich, denjenigen, die ungläubig sind, ist es gleich, ob du sie gewarnt hast oder nicht warnst; sie glauben nicht.",""
14,2,7,"Allah hat ihre Herzen versiegelt und (auch) ihr Gehör, und über ihrem Augenlicht befindet sich eine Hülle. Und für sie wird es eine gewaltige Strafe geben.",""
15,2,8,"Und Unter den Menschen gibt es manche, die sagen: „Wir glauben an Allah und an den Jüngsten Tag“, doch sind sie nicht gläubig.",""
16,2,9,"Sie möchten Allah und diejenigen, die glauben, betrügen; aber sie betrügen nur sich selbst, und merken es nicht.",""
17,2,10,"In ihren Herzen ist Krankheit, und da hat Allah ihnen an Krankheit gemehrt. Und für sie wird es schmerzhafte Strafe dafür geben, dass sie zu lügen pflegten.",""
18,2,11,"Und wenn zu ihnen gesagt wird: „Stiftet nicht Unheil auf der Erde!“, sagen sie: „Wir sind ja nur Heilstifter.“",""
19,2,12,"Gewiss, genau sie sind doch die Unheilstifter, jedoch merken sie (es) nicht.",""
20,2,13,"Und wenn zu ihnen gesagt wird: „Glaubt, wie die Menschen glauben!“, sagen sie: „Sollen wir denn glauben, wie die Toren glauben?“ Gewiss, genau sie sind doch die Toren, jedoch wissen sie (es) nicht.",""
21,2,14,"Und wenn sie denjenigen begegnen, die glauben, sagen sie: „Wir glauben.“ Und wenn sie mit ihren Satanen allein sind, sagen sie: „Wahrlich, wir sind mit euch. Wir machen uns fürwahr nur lustig.“",""
22,2,15,"Allah macht Sich über sie lustig, und Er lässt sie weiter (gewährend) in ihrer Auflehnung blind umherirren.",""
23,2,16,"Jene sind es, die das Irregehen um die Rechtleitung erkauft haben. Ihr Handel brachte aber keinen Gewinn ein, und sie waren (auch) nicht (von den) Rechtgeleiteten.",""
24,2,17,"Ihr Gleichnis ist wie das Gleichnis dessen, der ein Feuer anzündete. Als es dann erleuchtete, was um ihn herum war, nahm Allah ihnen das Licht weg und ließ sie in Finsternissen zurück; (und) sie sehen nicht.",""
25,2,18,"(Sie sind) taub, stumm und blind: So werden sie nicht umkehren.",""
26,2,19,"Oder es ist wie ein Gewitterregen vom Himmel mit Finsternissen, Donner und Blitz. Sie stecken sich die Finger in die Ohren vor den Donnerschlägen, (und) dies aus Angst vor dem Tod. Und Allah umfasst die Ungläubigen.",""
27,2,20,"Der Blitz raubt ihnen beinahe das Augenlicht. Jedes Mal, wenn er ihnen (etwas Helligkeit) leuchtet, gehen sie darin. Und wenn es finster um sie wird, bleiben sie stehen. Und wenn Allah wollte, würde Er ihnen gewiss ihr Gehör und Augenlicht fortnehmen. Wahrlich, Allah hat zu allem die Macht.",""
28,2,21,"O ihr Menschen, dient eurem Herrn, Der euch und diejenigen vor euch erschaffen hat, auf dass ihr gottesfürchtig werden möget!",""
29,2,22,"Der euch die Erde zu einem Ruhebett und den Himmel zu einem Bau gemacht hat und vom Himmel Wasser herabkommen lässt, durch das Er dann für euch Früchte als Versorgung hervorbringt. So stellt Allah nicht andere als Seinesgleichen zur Seite, wo ihr (es) doch wisst.",""
30,2,23,"Und solltet ihr im Zweifel über das sein, was Wir auf unseren Diener hinabgesandt haben, dann bringt doch eine Surah gleicher Art herbei und ruft eure Zeugen außer Allah an, wenn ihr wahrhaftig seid!",""
31,2,24,"Doch wenn ihr es nicht tut - und ihr werdet es nicht tun (können) -, dann hütet euch vor dem (Höllen)feuer, dessen Brennstoff Menschen und Steine sind. Es wurde für die Ungläubigen bereitet.",""
32,2,25,"Und verkünde denen, die glauben und rechtschaffene Werke tun, (die frohe Botschaft,) dass ihnen Gärten zuteil werden, unter denen Bäche fließen. Jedes Mal, wenn sie mit einer Frucht daraus versorgt werden, sagen sie: „Das ist ja das, womit wir zuvor versorgt wurden.“ Jedoch ist ihnen (nur) eine ihr ähnliche gegeben worden. Und sie haben darin (vollkommen) gereinigte Gattinnen, und ewig werden sie darin verweilen.",""
33,2,26,"Wahrlich, Allah schämt Sich nicht, ein Gleichnis auch nur mit einer Mücke oder mit etwas (an Größe und Bedeutung) über ihr stehendem zu prägen. Was nun diejenigen angeht, die glauben, so wissen sie, dass es die Wahrheit von ihrem Herrn ist. Was aber diejenigen angeht, die ungläubig sind, so sagen sie: „Was will denn Allah damit als Gleichnis?“ Er lässt damit viele in die Irre gehen und leitet viele damit recht, doch lässt Er damit nur die Frevler in die Irre gehen,",""
34,2,27,"die Allahs Bund nach seiner Abmachung brechen und (das) trennen, was Allah angeordnet hat, dass es verbunden werden soll, und (die) auf der Erde Unheil stiften. Jene sind die Verlierer.",""
35,2,28,"Wie könnt ihr Allah verleugnen, wo ihr doch tot wart und Er euch dann lebendig gemacht hat? Hierauf lässt Er euch sterben und darauf macht Er euch wieder lebendig, und dann werdet ihr zu Ihm zurückgebracht.",""
36,2,29,"Er ist es, Der für euch alles erschuf, was auf der Erde ist und Sich danach (mit Seinem Wesen hoch) über den Himmel erhob (und diesem zuwandte) und ihn dann zu sieben Himmeln formte. Und Er weiß über alles Bescheid.",""
37,2,30,"Und als dein Herr zu den Engeln sagte: „Wahrlich, Ich werde auf der Erde einen Statthalter einsetzen.“ Sie sagten: „Willst Du auf ihr etwa jemanden einsetzen, der auf ihr Unheil stiftet und Blut vergießt, wo wir Dich doch lobpreisen und Deine Heiligkeit rühmen?“ Er sagte: „Wahrlich, Ich weiß, was ihr nicht wisst.“",""
