"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Romanian
# Translation ID: romanian_project
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/romanian_project
# Last update: 2025-05-01 08:01:08 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/romanian_project/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"În Numele lui Allah Cel Milostiv [Ar-Rahman], Îndurător [Ar-Rahim],",""
2,1,2,"[Toată] Lauda [I se cuvine] lui Allah, Stăpânitorul lumilor,",""
3,1,3,"Cel Milostiv, Îndurător,",""
4,1,4,"Suveranul Zilei Judecății.",""
5,1,5,"Numai pe Tine Te adorăm, numai la Tine cerem ajutor,",""
6,1,6,"Călăuzește-ne pe noi către Calea cea Dreaptă[1],","[1] Islamul"
7,1,7,"Calea celor asupra cărora Tu ai revărsat Îndurarea Ta, nu a celor pe care Tu Te-ai mâniat, și nici a celor care au rătăcit.",""
8,2,1,"Alif, Lam, Mim[1]","[1] Acestea se află printre cele 14 litere de deschidere ce apar în diverse combinații la începutul a 29 de capitole din Coran. Deși s-au făcut multe speculații cu privire la semnificația lor, de fapt Allah nu a revelat nimănui înțelesul lor."
9,2,2,"Aceasta este Cartea[2] despre care nu există nicio îndoială; Ea este Călăuză pentru cei pioși [care au frică de Allah și Îl iubesc, efectuând fapte bune],","[2] Cartea este deseori folosită cu sensul de Coran"
10,2,3,"Care cred în cele nevăzute și îndeplinesc Rugăciunea și fac milostenie din ceea ce le-am dăruit Noi,",""
11,2,4,"Și care cred în ceea ce ți-a fost revelat ție [o, Mohammed] și în ceea ce a fost revelat înaintea ta și care cred în Viața de Apoi.",""
12,2,5,"Aceia sunt călăuziți de Domnul lor și aceia sunt învingători.",""
13,2,6,"Cu adevărat, pentru cei care nu cred e totuna de-i previi sau nu-i previi; ei tot nu cred[3]","[3] Sunt avuți în vedere ipocriții"
