"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Uzbek
# Translation ID: uzbek_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/uzbek_rwwad
# Last update: 2023-10-31 13:48:25 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/uzbek_rwwad/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Меҳрибон ва Раҳмли Аллоҳ номи билан (бошлайман).",""
2,1,2,"Ҳамд оламлар Парвардигори Аллоҳникидир.",""
3,1,3,"Меҳрибон ва Раҳмли.",""
4,1,4,"Қиёмат кунининг Эгаси.",""
5,1,5,"Сенгагина ибодат қиламиз ва Сендангина ёрдам сўраймиз.",""
6,1,6,"Бизни тўғри йўлга йўллагин.",""
7,1,7,"Ўзинг неъмат берганларинг йўлига. Ғазабга учраганлар ва адашганларнинг (йўлига) эмас.",""
8,2,1,"Алиф. Лом. Мим.",""
9,2,2,"Бу китобда шак-шубҳа йўқдир. У тақводорлар учун ҳидоятдир.",""
10,2,3,"(Тақводорлар)ки, ғайбга иймон келтирурлар, намозни тўкис адо этурлар ва Биз уларга берган ризқдан инфоқ-эҳсон қилурлар.",""
11,2,4,"(Тақводорларки,) сизга нозил қилинган (ваҳий)га ҳам, сиздан олдинги (пайғамбар)ларга нозил қилинган (ваҳий)га ҳам иймон келтирурлар ва охиратга аниқ ишонурлар.",""
12,2,5,"Ана ўшалар Парвардигорлари тарафидан ҳидоятга эришганлар ва нажот топгувчилардир.",""
13,2,6,"Куфр йўлини тутган кимсалар эса хоҳ уларни (Аллоҳнинг азобидан) қўрқитинг, хоҳ қўрқитманг, уларга баробардир — иймон келтирмайдилар.",""
14,2,7,"Аллоҳ уларнинг қалблари ва қулоқларини муҳрлаб қўйган, кўзларида эса парда бор. Уларга улкан азоб бордир.",""
15,2,8,"Ва одамлардан, Аллоҳга ва охират кунига иймон келтирдик, дейдиганлари бор. Ҳолбуки, улар мўмин эмаслар.",""
16,2,9,"Улар Аллоҳни ва иймон келтирганларни алдамоқчи бўладилар. (Аслида эса) сезмаганлари ҳолда ўзларини ўзлари алдайдилар.",""
17,2,10,"Уларнинг дилларида мараз бор, бас, Аллоҳ маразларини янада зиёда қилди. Ёлғон гапирганлари учун уларга аламли азоб бордир.",""
18,2,11,"Уларга: «Ер юзида бузғунчилик қилманглар», дейилса, «Биз ислоҳ қилувчилармиз», дейдилар.",""
19,2,12,"Огоҳ бўлингизким, айнан ўшалар бузғунчилардир, лекин ўзлари буни сезмаслар.",""
20,2,13,"Уларга: «Одамларга ўхшаб иймон келтиринглар», дейилса, «Эси пастларга ўхшаб иймон келтирайликми», дейдилар. Огоҳ бўлингизки, уларнинг ўзлари эси пастлардир. Лекин буни билмаслар.",""
21,2,14,"Мўминларга йўлиққанларида, иймон келтирдик, дерлар, шайтонлари билан холи қолганда эса, биз сизлар биланмиз, биз уларнинг устидан куляпмиз, холос, дерлар.",""
22,2,15,"Аллоҳ уларнинг устидан кулади ва ўз туғёнларида адашиб юришларига қўйиб беради.",""
23,2,16,"Улар ҳидоятнинг ўрнига залолатни сотиб олган кимсалардир. Бас, бу савдоларида фойда қилмадилар ва ҳидоят топганлардан бўлмадилар.",""
24,2,17,"Улар худди ёққан ўти энди атрофини ёритганида Аллоҳ нурларини кетказиб, қоронғу зулматларда қолдирган (ва ҳеч нарсани) кўрмайдиган кишиларга ўхшарлар.",""
25,2,18,"Улар кар, соқов, кўрдирлар. Бас, улар (йўлларидан) қайтмаслар.",""
26,2,19,"Ёки улар чақмоқ, момагулдурак, қоронғуликлар билан осмондан қуяётган ёмғир остида яшиндан қўрққанларидан панжаларини қулоқларига тиқиб олган ҳолларида ўлим — ҳалокатдан қочмоқчи бўлиб турган кимсалар кабидирлар. Аллоҳ эса кофирларни ўраб олгувчидир.",""
27,2,20,"Яшин кўзларини олиб қўйгудек бўлади. У (атрофини) ёритганида юриб оладилар, ўчганида туриб қоладилар. Агар Аллоҳ хоҳласа, уларни қулоқ ва кўзларидан жудо қилган бўлур эди. Шубҳасиз, Аллоҳ ҳар нарсага Қодирдир.",""
