"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Azeri
# Translation ID: azeri_musayev
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/azeri_musayev
# Last update: 2025-05-27 23:42:29 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/azeri_musayev/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Mərhəmətli və Rəhmli Allahın adı ilə!",""
2,1,2,"Həmd, aləmlərin Rəbbi olan Allaha məxsusdur –",""
3,1,3,"Mərhəmətli və Rəhmli olana,",""
4,1,4,"Din gününün Sahibinə!",""
5,1,5,"Biz yalnız Sənə ibadət edir və yalnız Səndən kömək diləyirik.",""
6,1,6,"Bizi doğru yola yönəlt!",""
7,1,7,"Nemət bəxş etdiyin şəxslərin yoluna, qəzəbə uğramışların və azmışların (yoluna) yox!",""
8,2,1,"Əlif. Ləm. Mim.[1]","[1] Surənin əvvəlindəki, oxunuşda arasında fasilə verilən bu hərflər Quranın ecazkar olduğuna dəlalət edir. Artıq bu Quran vasitəsilə müşriklərə xəbərdarlıq edilmiş və onlar bunun bənzərini gətirməyə aciz qalmışlar. Quran, ərəb dilinin quruluşunu təşkil edən bu hərflərdən daha mürəkkəbdir. Ərəblərin Quranın bənzərini gətirməyə aciz qalması, – halbuki onlar ərəb dilini ən səlis bilən insanlardır, – onun Allahdan nazil edilmiş vəhy olmasına dəlalət edir."
9,2,2,"Bu, içində heç bir şəkk-şübhə olmayan, müttəqilərə doğru yol göstərən bir Kitabdır.",""
10,2,3,"O kəslər ki, qeybə iman gətirir, namaz qılır və Bizim onlara verdiyimiz ruzidən (Allah yolunda) xərcləyirlər;",""
11,2,4,"O kəslər ki, sənə nazil olana və səndən əvvəl nazil olanlara iman gətirir, axirətə də yəqinliklə inanırlar.",""
12,2,5,"Onlar öz Rəbbindən (gələn) doğru yol üzərindədirlər. Məhz onlar nicat tapanlardır.",""
13,2,6,"Həqiqətən, kafirləri qorxutsan da, qorxutmasan da, onlar üçün eynidir, iman gətirməzlər.",""
14,2,7,"Allah onların qəlblərini və qulaqlarını möhürləmişdir, gözlərinə də pərdə çəkmişdir. Onlar üçün böyük bir əzab vardır.",""
15,2,8,"İnsanlardan elələri də vardır ki, mömin olmadıqları halda: “Allaha və Axirət gününə inanırıq”– deyirlər.",""
16,2,9,"Onlar Allahı və iman gətirənləri aldatmağa çalışırlar. (Halbuki) onlar, yalnız özlərini aldadır və (bunu) hiss etmirlər.",""
17,2,10,"Onların qəlblərində xəstəlik vardır və Allah onların xəstəliyini daha da artırmışdır. Yalan danışdıqlarına görə onlar üçün ağrılı-acılı bir əzab vardır.",""
18,2,11,"Onlara: “Yer üzündə fəsad törətməyin!”– deyildiyi zaman: “Biz ki, ancaq islah edənlərik!”– deyirlər.",""
19,2,12,"Əslində, elə onların özləri fəsad törədənlərdir, lakin (bunu) hiss etmirlər.",""
20,2,13,"Onlara: “İnsanlar iman gətirdiyi kimi siz də iman gətirin!”– deyildiyi zaman: “Biz də səfehlərin iman gətirdikləri kimi iman gətirək?”– deyirlər. Əslində, səfeh elə onların özləridir, lakin (bunu) bilmirlər.",""
21,2,14,"Onlar möminlərlə rastlaşdıqda: “Biz iman gətirdik!”– deyirlər, öz şeytanları (azmış dostları) ilə xəlvətə çəkildikdə isə: “Şübhəsiz ki, biz sizinləyik. Biz (möminlərə) ancaq istehza edirik!”– deyirlər.",""
22,2,15,"Allah da, onlara istehza edər və azğınlıqlarını o qədər artırar ki, öz zəlalətləri icində şaşqın qalarlar.",""
23,2,16,"Onlar doğru yol əvəzində azğınlığı satın almış kimsələrdir. Onların ticarəti qazanc gətirmədi, özləri də doğru yola yönəlmədilər.",""
24,2,17,"Onların məsəli (zülmət gecədə) od qalayan kimsənin məsəlinə bənzər. Alov onun ətrafındakıları işıqlandırdığı zaman Allah onların nurunu aparar, özlərini də (heç bir şey) görə bilməyəcəkləri zülmətlər içərisində buraxar.",""
25,2,18,"Onlar kar, lal və kordurlar. Odur ki, doğru yola qayıtmazlar.",""
26,2,19,"Yaxud onların məsəli zülmətlər içində göy gurultusu və şimşəklə göydən yağan leysana düşənlərin məsəlinə bənzəyir ki, ildırımdan ölmək qorxusu ilə barmaqlarını qulaqlarına tıxayırlar. Allah kafirləri (hər tərəfdən) əhatəyə almışdır.",""
27,2,20,"Şimşək az qalır ki, onların gözlərini çıxartsın. (Şimşək) hər dəfə onların yolunu işıqlandırdıqda onun işığında gedirlər, zülmət onları bürüdükdə isə dayanıb dururlar. Əgər Allah istəsəydi, onları eşitməkdən və görməkdən məhrum edərdi. Şübhəsiz ki, Allah hər şeyə qadirdir.",""
28,2,21,"Ey insanlar! Sizi və sizdən əvvəlkiləri yaratmış Rəbbinizə ibadət edin ki, bəlkə Ondan qorxasınız.",""
29,2,22,"O Rəbbinizə ki, sizin üçün yer üzünü döşəmə, göyü isə tavan etdi. Göydən su endirib onunla sizin üçün (növbənöv) məhsullardan ruzi yetişdirdi. Siz də (bunu) bildiyiniz halda (heç kəsi) Allaha tay tutmayın.",""
30,2,23,"Əgər qulumuza nazil etdiyimizə şübhə edirsinizsə, onda ona bənzər bir surə gətirin və əgər doğru deyirsinizsə, Allahdan savayı (bütün) şahidlərinizi (köməyə) çağırın!",""
31,2,24,"Əgər siz bunu edə bilmirsinizsə, – heç edə də bilməzsiniz – onda yanacağı insanlardan və daşlardan olan, kafirlər üçün hazırlanmış oddan çəkinin!",""
32,2,25,"İman gətirib saleh əməllər edənlərə müjdə ver ki, onlar üçün (ağacları və qəsrləri) altından çaylar axan cənnətlər vardır. Hər dəfə onun meyvələrindən onlara ruzi verildikdə: “Bu ki, əvvəllər bizə verilən ruzilərdəndir!”– deyəcəklər. Halbuki onlara onun oxşarı verilmişdir. Onlar üçün orada pak zövcələr vardır və onlar orada əbədi qalacaqlar.",""
33,2,26,"Şübhəsiz ki, Allah ağcaqanadı və (istər böyüklükdə, istərsə də kiçiklikdə) ondan üstün olanı məsəl çəkməkdən utanmaz. İman gətirənlərə gəlincə, onlar bilirlər ki, bu, onların Rəbbindən gələn haqdır. Küfr edənlər isə deyirlər: “Bu məsəllə Allah nə (demək) istəyir?” Halbuki (Allah) bununla bir çoxlarını azdırır, bir çoxlarını da haqq yoluna yönəldir. O, bununla yalnız fasiqləri azdırar.",""
34,2,27,"O kəsləri ki, Allahla əhd-peyman bağladıqdan sonra onu pozur, Allahın birləşdirilməsini əmr etdiyini kəsir və yer üzündə fitnə-fəsad törədirlər. Məhz onlar ziyana uğrayanlardır!",""
35,2,28,"Allaha necə küfr edirsiniz ki, siz ölü idiniz, O sizi diriltdi. Sonra O, sizi öldürəcək, sonra dirildəcək, daha sonra da siz Ona qaytarılacaqsınız.",""
36,2,29,"Yer üzündə olanların hamısını sizin üçün xəlq edən, sonra göyə ucalıb onu yeddi qat göy edən Odur. O, hər şeyi biləndir!",""
37,2,30,"Bir zaman Rəbbin mələklərə: “Mən yer üzündə bir xəlifə bərqərar edəcəyəm!”– dedikdə, onlar: “Biz Səni həmd-səna ilə təriflədiyimiz və Səni müqəddəs tutduğumuz halda, Sən orada, fəsad törədib qan tökəcək kəsmi bərqərar edəcəksən?”– demişdilər. O, buyurdu: “Şübhəsiz ki, Mən sizin bilmədiklərinizi bilirəm!”",""
38,2,31,"Allah Adəmə bütün şeylərin adlarını öyrətdi. Sonra onları mələklərə göstərib dedi: “Doğru deyirsinizsə, bunların adlarını Mənə bildirin!”",""
